Time [s], Pressure [PSI]
29.381610000000002, -20.85
29.39434, -20.85
29.40707, -20.85
29.4198, -20.85
29.43253, -20.85
29.445259999999998, -20.85
29.457990000000002, -20.64
29.47072, -20.85
29.48345, -20.85
29.49618, -20.85
29.50891, -20.85
29.521639999999998, -20.85
29.53437, -20.85
29.547099999999997, -20.85
29.55983, -20.85
29.57257, -20.85
29.5853, -20.85
29.598029999999998, -20.85
29.61076, -20.85
29.62349, -20.85
29.63622, -20.85
29.64895, -20.85
29.66168, -20.85
29.674409999999998, -20.85
29.68714, -20.85
29.69987, -20.85
29.7126, -20.85
29.725330000000003, -20.85
29.73806, -20.85
29.750790000000002, -20.85
29.76352, -20.85
29.77625, -20.85
29.78898, -20.85
29.80171, -20.85
29.814439999999998, -20.85
29.82717, -20.85
29.83991, -20.85
29.85264, -20.64
29.86537, -20.85
29.8781, -20.85
29.89083, -20.64
29.903560000000002, -20.85
29.91629, -20.85
29.92902, -20.85
29.94175, -20.85
29.95448, -20.85
29.967209999999998, -20.85
29.97994, -20.85
29.992669999999997, -20.85
30.0054, -20.64
30.01813, -20.85
30.03086, -20.85
30.043590000000002, -20.85
30.05632, -20.85
30.06905, -20.85
30.08178, -20.85
30.09451, -20.85
30.10725, -20.85
30.119979999999998, -20.85
30.13271, -20.85
30.145439999999997, -20.85
30.15817, -20.85
30.170900000000003, -20.85
30.18363, -20.85
30.196360000000002, -20.85
30.20909, -20.85
30.22182, -20.85
30.23455, -20.64
30.24728, -20.85
30.260009999999998, -20.85
30.272740000000002, -20.85
30.28547, -20.85
30.2982, -20.85
30.31093, -20.85
30.32366, -20.85
30.336389999999998, -20.85
30.34912, -20.85
30.361849999999997, -20.85
30.37458, -20.85
30.38732, -20.85
30.40005, -20.85
30.412779999999998, -20.85
30.42551, -20.85
30.43824, -20.85
30.45097, -20.85
30.4637, -20.85
30.47643, -20.85
30.48916, -20.85
30.50189, -20.85
30.51462, -20.85
30.52735, -20.85
30.540080000000003, -20.85
30.55281, -20.85
30.565540000000002, -20.85
30.57827, -20.85
30.591, -20.85
30.60373, -20.85
30.61646, -20.85
30.629189999999998, -20.85
30.64192, -20.64
30.65466, -20.85
30.66739, -20.85
30.68012, -20.85
30.69285, -20.85
30.70558, -20.85
30.718310000000002, -20.85
30.73104, -20.85
30.74377, -20.85
30.7565, -20.85
30.76923, -20.85
30.781959999999998, -20.85
30.79469, -20.85
30.807419999999997, -21.07
30.82015, -20.85
30.83288, -20.85
30.84561, -20.85
30.858340000000002, -20.85
30.87107, -20.85
30.8838, -20.85
30.89653, -20.85
30.90926, -20.85
30.922, -20.85
30.93473, -20.85
30.94746, -20.85
30.960189999999997, -20.85
30.97292, -20.85
30.98565, -21.07
30.99838, -20.85
31.011110000000002, -20.85
31.02384, -20.85
31.03657, -20.85
31.0493, -20.85
31.06203, -20.85
31.074759999999998, -20.85
31.087490000000003, -20.85
31.10022, -20.85
31.11295, -20.85
31.12568, -20.85
31.13841, -20.85
31.151139999999998, -20.85
31.16387, -20.85
31.176599999999997, -20.85
31.18933, -20.85
31.20207, -20.85
31.2148, -20.85
31.227529999999998, -20.85
31.24026, -20.85
31.25299, -21.07
31.26572, -20.85
31.27845, -20.85
31.29118, -20.85
31.30391, -20.85
31.31664, -20.85
31.329369999999997, -20.85
31.3421, -20.85
31.354830000000003, -20.85
31.36756, -20.85
31.380290000000002, -20.85
31.39302, -20.85
31.40575, -20.85
31.41848, -20.85
31.43121, -21.07
31.443939999999998, -20.85
31.45667, -21.07
31.46941, -20.85
31.48214, -21.07
31.49487, -20.85
31.5076, -20.85
31.52033, -20.85
31.533060000000003, -20.85
31.54579, -20.85
31.55852, -20.85
31.57125, -20.85
31.58398, -20.85
31.596709999999998, -20.85
31.60944, -20.85
31.622169999999997, -20.85
31.634900000000002, -20.85
31.64763, -20.85
31.66036, -20.85
31.67309, -20.85
31.68582, -20.85
31.69855, -20.85
31.71128, -20.85
31.72401, -20.85
31.73675, -20.85
31.74948, -20.85
31.76221, -20.85
31.774939999999997, -20.85
31.78767, -20.85
31.8004, -21.07
31.81313, -20.85
31.825860000000002, -20.85
31.83859, -20.85
31.85132, -20.85
31.86405, -20.85
31.87678, -20.85
31.889509999999998, -20.85
31.902240000000003, -20.85
31.91497, -20.85
31.9277, -20.85
31.94043, -20.85
31.95316, -20.85
31.965889999999998, -20.85
31.97862, -20.85
31.991349999999997, -20.85
32.00408, -21.07
32.01682, -20.85
32.02955, -20.85
32.04228, -20.85
32.055009999999996, -20.85
32.06774, -20.85
32.08047, -20.85
32.0932, -21.07
32.10593, -20.85
32.11866, -20.85
32.131389999999996, -20.85
32.14412, -20.85
32.15685, -20.85
32.16958, -20.85
32.18231, -21.07
32.19504, -20.85
32.207770000000004, -20.85
32.2205, -20.85
32.23323, -20.85
32.24596, -20.85
32.25869, -20.85
32.27142, -20.85
32.28416, -20.85
32.29689, -20.85
32.30962, -20.85
32.32235, -21.07
32.335080000000005, -20.85
32.34781, -20.85
32.36054, -20.85
32.37327, -20.85
32.386, -20.85
32.39873, -20.85
32.41146, -20.85
32.424189999999996, -20.85
32.43692, -20.85
32.44965, -20.85
32.46238, -20.85
32.47511, -21.07
32.48784, -20.85
32.500569999999996, -20.85
32.5133, -20.85
32.52603, -20.85
32.538759999999996, -20.85
32.5515, -20.85
32.56423, -20.85
32.57696, -20.85
32.58969, -20.85
32.602419999999995, -20.85
32.61515, -20.85
32.62788, -20.85
32.64061, -20.85
32.65334, -20.85
32.66607, -20.85
32.6788, -20.85
32.69153, -20.85
32.70426, -20.85
32.71699, -21.07
32.72972, -20.85
32.74245, -20.85
32.75518, -20.85
32.76791, -21.07
32.78064, -21.07
32.79337, -20.85
32.8061, -20.85
32.81883, -20.85
32.831559999999996, -20.85
32.84429, -20.85
32.85702, -20.85
32.86975, -20.85
32.88248, -20.85
32.89521, -20.85
32.90794, -20.85
32.92067, -21.07
32.93341, -20.85
32.94614, -21.07
32.958870000000005, -20.85
32.971599999999995, -20.85
32.98433, -20.85
32.99706, -20.85
33.00979, -20.85
33.02252, -20.85
33.03525, -20.85
33.04798, -20.85
33.06071, -20.85
33.073440000000005, -20.85
33.086169999999996, -20.85
33.0989, -21.07
33.11163, -20.85
33.12436, -20.85
33.13708999999999, -21.07
33.14982, -20.85
33.16255, -20.85
33.17528, -20.85
33.188010000000006, -20.85
